Protein,HSA+AAG,,HSA Only,,AAG Only,
1,89.7637795,71.0077519,17.3809524,22.7777778,99.4,93.4
0.5,47.9136691,52.2900763,6.1,6.64754098,80.1,80.2
0.25,30.6666667,32.5,3.98305085,2.82644628,34.1,34.2
0.125,8.12605042,11.44,1.47169811,1.6,17.9,18.3
0.0625,2.66371681,3.52173913,0.88035398,0.98275862,8.82,9.64
0.03125,1.44166667,0.99130435,0.60764228,0.67669291,1.72,1.96
0.015625,1.03149606,1.30952381,0.56677966,1.0703125,3.53,2.76
0.0078125,1.01754386,1.19327731,1.11926606,1.69166667,2.38,2.69
0.00390625,0.63245763,0.38837398,0.4653719,0.49269841,1.39,0.908
0.00195313,1.03333333,1.06923077,1.15044248,0.99206349,1.14,1.34
0.00097656,1.11666667,1.30434783,1.75229358,1.31623932,2.2,1.83
0.00048828,0.66291667,0.49018018,0.52733871,0.60325581,0.92,1.33
0.00024414,0.68925373,0.90697674,1.04310345,1.17910448,2.48,2.58
0.00012207,0.95041322,1.57142857,1.36666667,1.33050847,2.36,1.84
0.000061035,0.33477612,0.23272727,0.48201613,0.4012605,1.12,0.604
0.000030518,1.26666667,0.80291971,0.90909091,0.89166667,2.25,2.25
0.000015259,0.74073171,0.88135593,0.84695652,1.03418803,2.21,1.89
7.63E-06,0.26893805,0.13616,0.25119658,0.23817391,0.553,0.35
3.81E-06,0.61486111,0.57059259,1.05128205,0.45427481,1.14,0.782
1.91E-06,0.85245902,0.53587302,0.71336066,0.39189655,1.29,0.819
